       Pore width              Cumulative              Cumulative               dV(log d)               dS(log d)
                               Pore Volume            Surface Area                                           
           nm                     cc/g                    mІ/g                    cc/g                    mІ/g

           0.6140                  6.6407e-02              2.4509e+02              7.5114e-01              2.2557e+03
           0.6660                  9.2780e-02              3.2401e+02              8.4213e-01              2.3811e+03
           0.7230                  1.2372e-01              4.0917e+02              9.5397e-01              2.4799e+03
           0.7850                  1.5894e-01              4.9900e+02              1.0448e+00              2.5281e+03
           0.8520                  1.9751e-01              5.9013e+02              1.1246e+00              2.5212e+03
           0.9260                  2.3935e-01              6.8163e+02              1.1811e+00              2.4482e+03
           1.0070                  2.8333e-01              7.7044e+02              1.2283e+00              2.3432e+03
           1.0960                  3.2944e-01              8.5594e+02              1.2912e+00              2.2542e+03
           1.1930                  3.7822e-01              9.3860e+02              1.3919e+00              2.2162e+03
           1.2990                  4.3134e-01              1.0207e+03              1.5283e+00              2.2234e+03
           1.4160                  4.9058e-01              1.1045e+03              1.6856e+00              2.2512e+03
           1.5430                  5.5585e-01              1.1894e+03              1.8345e+00              2.2598e+03
           1.6820                  6.2679e-01              1.2747e+03              1.9316e+00              2.2016e+03
           1.8340                  7.0093e-01              1.3571e+03              1.9519e+00              2.0587e+03
           2.0000                  7.7492e-01              1.4331e+03              1.9034e+00              1.8543e+03
           2.1830                  8.4724e-01              1.5017e+03              1.8119e+00              1.6245e+03
           2.3820                  9.1521e-01              1.5608e+03              1.7713e+00              1.4426e+03
           2.6000                  9.8339e-01              1.6144e+03              1.8530e+00              1.3578e+03
           2.8380                  1.0555e+00              1.6654e+03              1.8617e+00              1.2527e+03
           3.0990                  1.1247e+00              1.7109e+03              1.6993e+00              1.0744e+03
           3.3850                  1.1883e+00              1.7503e+03              1.4909e+00              8.9328e+02
           3.6980                  1.2456e+00              1.7840e+03              1.2118e+00              6.8462e+02
           4.0390                  1.2891e+00              1.8079e+03              8.1635e-01              4.2399e+02
           4.4130                  1.3133e+00              1.8197e+03              5.1730e-01              2.3665e+02
           4.8230                  1.3308e+00              1.8272e+03              4.1218e-01              1.6909e+02
           5.2700                  1.3461e+00              1.8333e+03              3.5813e-01              1.3474e+02
           5.7600                  1.3593e+00              1.8381e+03              3.1510e-01              1.0824e+02
           6.2960                  1.3712e+00              1.8420e+03              2.8956e-01              9.0320e+01
           6.8830                  1.3823e+00              1.8454e+03              2.6740e-01              7.5843e+01
           7.5240                  1.3922e+00              1.8481e+03              2.4573e-01              6.3473e+01
           8.2270                  1.4016e+00              1.8504e+03              2.3390e-01              5.5531e+01
           8.9950                  1.4107e+00              1.8526e+03              2.2535e-01              4.9105e+01
           9.8350                  1.4194e+00              1.8544e+03              2.1020e-01              4.1766e+01
          10.7550                  1.4273e+00              1.8559e+03              1.9161e-01              3.4816e+01
          11.7610                  1.4346e+00              1.8572e+03              1.7754e-01              2.9614e+01
          12.8610                  1.4414e+00              1.8583e+03              1.5998e-01              2.4720e+01
          14.0660                  1.4475e+00              1.8592e+03              1.3542e-01              1.9321e+01
          15.3830                  1.4524e+00              1.8599e+03              1.1687e-01              1.5091e+01
          16.8250                  1.4569e+00              1.8604e+03              1.0205e-01              1.2022e+01
          18.4020                  1.4606e+00              1.8609e+03              8.4870e-02              9.1326e+00
          20.1280                  1.4637e+00              1.8612e+03              7.5639e-02              7.3904e+00
          22.0160                  1.4667e+00              1.8615e+03              6.8080e-02              6.2008e+00
          24.0820                  1.4692e+00              1.8617e+03              5.1940e-02              4.3925e+00
          26.3430                  1.4709e+00              1.8618e+03              3.9893e-02              3.0789e+00
          28.8160                  1.4725e+00              1.8619e+03              3.3893e-02              2.4095e+00
          31.5220                  1.4733e+00              1.8620e+03              2.1740e-02              1.3315e+00
          34.4820                  1.4743e+00              1.8621e+03              2.6054e-02              1.5126e+00
