                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/08/23       Operator: Ayupov              Date:2023/04/11
Sample ID:     AY23-106 CKO N19    Filename:      AY23-106 CKO N19 2893 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   16.0 hrs            Outgas Temp:   150.0 °C            Sample Weight: 0.0532 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1130.6 min          Instrument:    Autosorb Station 2  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative           dV(log d)           dS(log d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g                cc/g                m²/g

         0.6140              7.4723e-02          2.7743e+02          7.6753e-01          2.3049e+03
         0.6660              1.0165e-01          3.5817e+02          8.3895e-01          2.3758e+03
         0.7230              1.3225e-01          4.4284e+02          9.2639e-01          2.4170e+03
         0.7850              1.6629e-01          5.2996e+02          9.9939e-01          2.4252e+03
         0.8520              2.0303e-01          6.1690e+02          1.0674e+00          2.3950e+03
         0.9260              2.4266e-01          7.0359e+02          1.1220e+00          2.3231e+03
         1.0070              2.8446e-01          7.8785e+02          1.1730e+00          2.2334e+03
         1.0960              3.2855e-01          8.6945e+02          1.2390e+00          2.1603e+03
         1.1930              3.7541e-01          9.4881e+02          1.3377e+00          2.1303e+03
         1.2990              4.2650e-01          1.0278e+03          1.4673e+00          2.1369e+03
         1.4160              4.8340e-01          1.1084e+03          1.6105e+00          2.1535e+03
         1.5430              5.4559e-01          1.1894e+03          1.7426e+00          2.1485e+03
         1.6820              6.1289e-01          1.2703e+03          1.8339e+00          2.0903e+03
         1.8340              6.8334e-01          1.3487e+03          1.8653e+00          1.9647e+03
         2.0000              7.5427e-01          1.4214e+03          1.8388e+00          1.7858e+03
         2.1830              8.2427e-01          1.4875e+03          1.7537e+00          1.5699e+03
         2.3820              8.8984e-01          1.5446e+03          1.6109e+00          1.3307e+03
         2.6000              9.4960e-01          1.5925e+03          1.4341e+00          1.0939e+03
         2.8380              1.0025e+00          1.6316e+03          1.2443e+00          8.7511e+02
         3.0990              1.0481e+00          1.6627e+03          1.0567e+00          6.8161e+02
         3.3850              1.0865e+00          1.6866e+03          8.9585e-01          5.2625e+02
         3.6980              1.1192e+00          1.7052e+03          7.7293e-01          4.1326e+02
         4.0390              1.1476e+00          1.7198e+03          6.7888e-01          3.3158e+02
         4.4130              1.1728e+00          1.7317e+03          6.0917e-01          2.7215e+02
         4.8230              1.1958e+00          1.7416e+03          5.4512e-01          2.2344e+02
         5.2700              1.2160e+00          1.7497e+03          4.7065e-01          1.7748e+02
         5.7600              1.2333e+00          1.7560e+03          4.0549e-01          1.4012e+02
         6.2960              1.2485e+00          1.7611e+03          3.5739e-01          1.1284e+02
         6.8830              1.2619e+00          1.7652e+03          3.0831e-01          8.8776e+01
         7.5240              1.2731e+00          1.7683e+03          2.6410e-01          6.9167e+01
         8.2270              1.2829e+00          1.7707e+03          2.4027e-01          5.7532e+01
         8.9950              1.2922e+00          1.7729e+03          2.2859e-01          4.9753e+01
         9.8350              1.3010e+00          1.7748e+03          2.1445e-01          4.2273e+01
        10.7550              1.3091e+00          1.7763e+03          1.9883e-01          3.5875e+01
        11.7610              1.3166e+00          1.7776e+03          1.9183e-01          3.1827e+01
        12.8610              1.3242e+00          1.7788e+03          1.8042e-01          2.7742e+01
        14.0660              1.3311e+00          1.7799e+03          1.5711e-01          2.2206e+01
        15.3830              1.3369e+00          1.7807e+03          1.4295e-01          1.8166e+01
        16.8250              1.3424e+00          1.7813e+03          1.3492e-01          1.5669e+01
        18.4020              1.3476e+00          1.7819e+03          1.2385e-01          1.3099e+01
        20.1280              1.3522e+00          1.7824e+03          1.2512e-01          1.1909e+01
        22.0160              1.3574e+00          1.7829e+03          1.2331e-01          1.0928e+01
        24.0820              1.3620e+00          1.7833e+03          1.0355e-01          8.5672e+00
        26.3430              1.3657e+00          1.7836e+03          8.9597e-02          6.8409e+00
        28.8160              1.3693e+00          1.7838e+03          8.0733e-02          5.7185e+00
        31.5220              1.3713e+00          1.7840e+03          5.3164e-02          3.2446e+00
        34.4820              1.3738e+00          1.7841e+03          6.3928e-02          3.7080e+00

                                             DFT method summary
                                     Pore volume =         1.364 cc/g
                                    Surface area =      1763.350 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.417 %
                         Pore width (Mode(dLog)) =         1.834 nm
 
                            Moving point average :         5
 
 
