                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/08/23       Operator: Ayupov              Date:2023/04/11
Sample ID:     AY23-106 CKO N19    Filename:      AY23-106 CKO N19 2893 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   16.0 hrs            Outgas Temp:   150.0 °C            Sample Weight: 0.0532 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1130.6 min          Instrument:    Autosorb Station 2  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative             dV(d)               dS(d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g               cc/nm/g             m²/nm/g

         0.6140              7.4723e-02          2.7743e+02          4.8412e-01          1.5770e+03
         0.6660              1.0165e-01          3.5817e+02          5.1779e-01          1.5527e+03
         0.7230              1.3225e-01          4.4284e+02          5.3690e-01          1.4853e+03
         0.7850              1.6629e-01          5.2996e+02          5.4903e-01          1.4052e+03
         0.8520              2.0303e-01          6.1690e+02          5.4826e-01          1.2977e+03
         0.9260              2.4266e-01          7.0359e+02          5.3567e-01          1.1715e+03
         1.0070              2.8446e-01          7.8785e+02          5.1598e-01          1.0402e+03
         1.0960              3.2855e-01          8.6945e+02          4.9535e-01          9.1682e+02
         1.1930              3.7541e-01          9.4881e+02          4.8316e-01          8.1818e+02
         1.2990              4.2650e-01          1.0278e+03          4.8200e-01          7.4530e+02
         1.4160              4.8340e-01          1.1084e+03          4.8627e-01          6.8869e+02
         1.5430              5.4559e-01          1.1894e+03          4.8970e-01          6.3788e+02
         1.6820              6.1289e-01          1.2703e+03          4.8417e-01          5.8226e+02
         1.8340              6.8334e-01          1.3487e+03          4.6350e-01          5.1530e+02
         2.0000              7.5427e-01          1.4214e+03          4.2730e-01          4.3821e+02
         2.1830              8.2427e-01          1.4875e+03          3.8251e-01          3.6123e+02
         2.3820              8.8984e-01          1.5446e+03          3.2950e-01          2.8664e+02
         2.6000              9.4960e-01          1.5925e+03          2.7410e-01          2.1992e+02
         2.8380              1.0025e+00          1.6316e+03          2.2211e-01          1.6445e+02
         3.0990              1.0481e+00          1.6627e+03          1.7492e-01          1.1918e+02
         3.3850              1.0865e+00          1.6866e+03          1.3435e-01          8.3600e+01
         3.6980              1.1192e+00          1.7052e+03          1.0446e-01          5.9115e+01
         4.0390              1.1476e+00          1.7198e+03          8.3081e-02          4.2890e+01
         4.4130              1.1728e+00          1.7317e+03          6.7394e-02          3.1842e+01
         4.8230              1.1958e+00          1.7416e+03          5.6112e-02          2.4268e+01
         5.2700              1.2160e+00          1.7497e+03          4.5300e-02          1.8001e+01
         5.7600              1.2333e+00          1.7560e+03          3.5258e-02          1.2870e+01
         6.2960              1.2485e+00          1.7611e+03          2.8340e-02          9.4651e+00
         6.8830              1.2619e+00          1.7652e+03          2.2883e-02          6.9896e+00
         7.5240              1.2731e+00          1.7683e+03          1.7418e-02          4.8244e+00
         8.2270              1.2829e+00          1.7707e+03          1.3982e-02          3.5378e+00
         8.9950              1.2922e+00          1.7729e+03          1.2136e-02          2.8213e+00
         9.8350              1.3010e+00          1.7748e+03          1.0451e-02          2.1901e+00
        10.7550              1.3091e+00          1.7763e+03          8.7400e-03          1.6644e+00
        11.7610              1.3166e+00          1.7776e+03          7.5473e-03          1.3229e+00
        12.8610              1.3242e+00          1.7788e+03          6.9027e-03          1.1140e+00
        14.0660              1.3311e+00          1.7799e+03          5.6931e-03          8.5465e-01
        15.3830              1.3369e+00          1.7807e+03          4.3894e-03          5.9542e-01
        16.8250              1.3424e+00          1.7813e+03          3.8591e-03          4.7245e-01
        18.4020              1.3476e+00          1.7819e+03          3.2556e-03          3.6877e-01
        20.1280              1.3522e+00          1.7824e+03          2.6921e-03          2.7211e-01
        22.0160              1.3574e+00          1.7829e+03          2.7152e-03          2.5182e-01
        24.0820              1.3620e+00          1.7833e+03          2.2469e-03          1.9532e-01
        26.3430              1.3657e+00          1.7836e+03          1.6430e-03          1.3109e-01
        28.8160              1.3693e+00          1.7838e+03          1.4631e-03          1.0921e-01
        31.5220              1.3713e+00          1.7840e+03          7.1542e-04          4.5294e-02
        34.4820              1.3738e+00          1.7841e+03          8.4183e-04          4.8828e-02

                                             DFT method summary
                                     Pore volume =         1.364 cc/g
                                    Surface area =      1763.350 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.417 %
                               Pore width (Mode) =         0.785 nm
 
                            Moving point average :         5
 
 
