                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/08/23       Operator: Ayupov              Date:2023/04/11
Sample ID:     AY23-110 Ni N1      Filename:      AY23-110 Ni N1 2897 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0678 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 800.3 min           Instrument:    Autosorb Station 4  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative           dV(log d)           dS(log d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g                cc/g                m²/g

         0.6140              2.8207e-02          1.0444e+02          3.0414e-01          9.1334e+02
         0.6660              3.8888e-02          1.3643e+02          3.3778e-01          9.5557e+02
         0.7230              5.1294e-02          1.7064e+02          3.8064e-01          9.9026e+02
         0.7850              6.5340e-02          2.0648e+02          4.1653e-01          1.0079e+03
         0.8520              8.0715e-02          2.4279e+02          4.4917e-01          1.0061e+03
         0.9260              9.7431e-02          2.7932e+02          4.7176e-01          9.7744e+02
         1.0070              1.1498e-01          3.1474e+02          4.8506e-01          9.2750e+02
         1.0960              1.3308e-01          3.4843e+02          4.9448e-01          8.6953e+02
         1.1930              1.5155e-01          3.8000e+02          5.0764e-01          8.1773e+02
         1.2990              1.7064e-01          4.0983e+02          5.2745e-01          7.7689e+02
         1.4160              1.9076e-01          4.3860e+02          5.5327e-01          7.4599e+02
         1.5430              2.1185e-01          4.6624e+02          5.8231e-01          7.2078e+02
         1.6820              2.3418e-01          4.9314e+02          6.0941e-01          6.9410e+02
         1.8340              2.5760e-01          5.1911e+02          6.3189e-01          6.6168e+02
         2.0000              2.8183e-01          5.4378e+02          6.5186e-01          6.2596e+02
         2.1830              3.0706e-01          5.6732e+02          6.6516e-01          5.8593e+02
         2.3820              3.3250e-01          5.8910e+02          6.6321e-01          5.3758e+02
         2.6000              3.5779e-01          6.0904e+02          6.4533e-01          4.8288e+02
         2.8380              3.8232e-01          6.2691e+02          6.1210e-01          4.2300e+02
         3.0990              4.0550e-01          6.4249e+02          5.6377e-01          3.5855e+02
         3.3850              4.2662e-01          6.5551e+02          5.0746e-01          2.9566e+02
         3.6980              4.4550e-01          6.6615e+02          4.5273e-01          2.4144e+02
         4.0390              4.6230e-01          6.7482e+02          4.0238e-01          1.9679e+02
         4.4130              4.7728e-01          6.8191e+02          3.5726e-01          1.6022e+02
         4.8230              4.9067e-01          6.8773e+02          3.1238e-01          1.2861e+02
         5.2700              5.0216e-01          6.9231e+02          2.6417e-01          1.0009e+02
         5.7600              5.1182e-01          6.9585e+02          2.2334e-01          7.7532e+01
         6.2960              5.2012e-01          6.9863e+02          1.9385e-01          6.1274e+01
         6.8830              5.2736e-01          7.0084e+02          1.6615e-01          4.7784e+01
         7.5240              5.3336e-01          7.0250e+02          1.4202e-01          3.7163e+01
         8.2270              5.3864e-01          7.0384e+02          1.2849e-01          3.0836e+01
         8.9950              5.4362e-01          7.0500e+02          1.1960e-01          2.6235e+01
         9.8350              5.4818e-01          7.0596e+02          1.0884e-01          2.1617e+01
        10.7550              5.5221e-01          7.0673e+02          9.9387e-02          1.7969e+01
        11.7610              5.5601e-01          7.0740e+02          9.7290e-02          1.6041e+01
        12.8610              5.5987e-01          7.0802e+02          9.5380e-02          1.4452e+01
        14.0660              5.6354e-01          7.0856e+02          8.7928e-02          1.2243e+01
        15.3830              5.6685e-01          7.0900e+02          8.5733e-02          1.0768e+01
        16.8250              5.7028e-01          7.0942e+02          8.6429e-02          9.9410e+00
        18.4020              5.7365e-01          7.0980e+02          8.1428e-02          8.5928e+00
        20.1280              5.7670e-01          7.1011e+02          8.0584e-02          7.6992e+00
        22.0160              5.7996e-01          7.1041e+02          8.1024e-02          7.1768e+00
        24.0820              5.8312e-01          7.1069e+02          7.2752e-02          5.9534e+00
        26.3430              5.8578e-01          7.1089e+02          6.7694e-02          5.0171e+00
        28.8160              5.8850e-01          7.1109e+02          6.8486e-02          4.6652e+00
        31.5220              5.9075e-01          7.1123e+02          6.2144e-02          3.7926e+00
        34.4820              5.9361e-01          7.1140e+02          7.3403e-02          4.2576e+00

                                             DFT method summary
                                     Pore volume =         0.589 cc/g
                                    Surface area =       703.755 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.433 %
                         Pore width (Mode(dLog)) =         2.183 nm
 
                            Moving point average :         5
 
 
