                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/08/23       Operator: Ayupov              Date:2023/04/11
Sample ID:     AY23-110 Ni N1      Filename:      AY23-110 Ni N1 2897 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0678 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 800.3 min           Instrument:    Autosorb Station 4  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative             dV(d)               dS(d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g               cc/nm/g             m²/nm/g

         0.6140              2.8207e-02          1.0444e+02          1.8782e-01          6.1179e+02
         0.6660              3.8888e-02          1.3643e+02          2.0542e-01          6.1528e+02
         0.7230              5.1294e-02          1.7064e+02          2.1765e-01          6.0009e+02
         0.7850              6.5340e-02          2.0648e+02          2.2655e-01          5.7810e+02
         0.8520              8.0715e-02          2.4279e+02          2.2948e-01          5.4191e+02
         0.9260              9.7431e-02          2.7932e+02          2.2589e-01          4.9358e+02
         1.0070              1.1498e-01          3.1474e+02          2.1659e-01          4.3737e+02
         1.0960              1.3308e-01          3.4843e+02          2.0340e-01          3.7847e+02
         1.1930              1.5155e-01          3.8000e+02          1.9046e-01          3.2546e+02
         1.2990              1.7064e-01          4.0983e+02          1.8003e-01          2.8143e+02
         1.4160              1.9076e-01          4.3860e+02          1.7201e-01          2.4596e+02
         1.5430              2.1185e-01          4.6624e+02          1.6608e-01          2.1762e+02
         1.6820              2.3418e-01          4.9314e+02          1.6064e-01          1.9351e+02
         1.8340              2.5760e-01          5.1911e+02          1.5404e-01          1.7083e+02
         2.0000              2.8183e-01          5.4378e+02          1.4597e-01          1.4863e+02
         2.1830              3.0706e-01          5.6732e+02          1.3788e-01          1.2864e+02
         2.3820              3.3250e-01          5.8910e+02          1.2786e-01          1.0946e+02
         2.6000              3.5779e-01          6.0904e+02          1.1598e-01          9.1470e+01
         2.8380              3.8232e-01          6.2691e+02          1.0306e-01          7.5075e+01
         3.0990              4.0550e-01          6.4249e+02          8.8841e-02          5.9695e+01
         3.3850              4.2662e-01          6.5551e+02          7.3839e-02          4.5501e+01
         3.6980              4.4550e-01          6.6615e+02          6.0323e-02          3.3998e+01
         4.0390              4.6230e-01          6.7482e+02          4.9246e-02          2.5423e+01
         4.4130              4.7728e-01          6.8191e+02          4.0059e-02          1.8977e+01
         4.8230              4.9067e-01          6.8773e+02          3.2652e-02          1.4177e+01
         5.2700              5.0216e-01          6.9231e+02          2.5722e-02          1.0256e+01
         5.7600              5.1182e-01          6.9585e+02          1.9709e-02          7.2298e+00
         6.2960              5.2012e-01          6.9863e+02          1.5482e-02          5.1857e+00
         6.8830              5.2736e-01          7.0084e+02          1.2333e-02          3.7629e+00
         7.5240              5.3336e-01          7.0250e+02          9.3588e-03          2.5893e+00
         8.2270              5.3864e-01          7.0384e+02          7.5119e-03          1.8991e+00
         8.9950              5.4362e-01          7.0500e+02          6.4866e-03          1.5147e+00
         9.8350              5.4818e-01          7.0596e+02          5.4238e-03          1.1466e+00
        10.7550              5.5221e-01          7.0673e+02          4.3897e-03          8.3950e-01
        11.7610              5.5601e-01          7.0740e+02          3.7686e-03          6.6081e-01
        12.8610              5.5987e-01          7.0802e+02          3.5144e-03          5.6129e-01
        14.0660              5.6354e-01          7.0856e+02          3.0471e-03          4.5035e-01
        15.3830              5.6685e-01          7.0900e+02          2.5115e-03          3.3726e-01
        16.8250              5.7028e-01          7.0942e+02          2.3776e-03          2.8826e-01
        18.4020              5.7365e-01          7.0980e+02          2.1361e-03          2.4032e-01
        20.1280              5.7670e-01          7.1011e+02          1.7655e-03          1.7892e-01
        22.0160              5.7996e-01          7.1041e+02          1.7303e-03          1.6084e-01
        24.0820              5.8312e-01          7.1069e+02          1.5283e-03          1.3274e-01
        26.3430              5.8578e-01          7.1089e+02          1.1748e-03          9.2284e-02
        28.8160              5.8850e-01          7.1109e+02          1.1032e-03          7.9432e-02
        31.5220              5.9075e-01          7.1123e+02          8.3055e-04          5.2505e-02
        34.4820              5.9361e-01          7.1140e+02          9.6660e-04          5.6066e-02

                                             DFT method summary
                                     Pore volume =         0.589 cc/g
                                    Surface area =       703.755 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.433 %
                               Pore width (Mode) =         0.852 nm
 
                            Moving point average :         5
 
 
