                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/13/23       Operator: Ayupov              Date:2023/04/17
Sample ID:     AY23-120 CKO N26    Filename:      AY23-120 CKO N26 2905 QSDFT Slit Adsorption.qps
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0642 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1332.7 min          Instrument:    Autosorb Station 2  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative           dV(log d)           dS(log d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g                cc/g                m²/g

         0.6140              7.7885e-02          2.8873e+02          8.1684e-01          2.4530e+03
         0.6660              1.0651e-01          3.7456e+02          8.9406e-01          2.5317e+03
         0.7230              1.3900e-01          4.6444e+02          9.8071e-01          2.5611e+03
         0.7850              1.7496e-01          5.5659e+02          1.0469e+00          2.5464e+03
         0.8520              2.1330e-01          6.4757e+02          1.0990e+00          2.4756e+03
         0.9260              2.5387e-01          7.3667e+02          1.1290e+00          2.3499e+03
         1.0070              2.9563e-01          8.2127e+02          1.1539e+00          2.2079e+03
         1.0960              3.3873e-01          9.0136e+02          1.2026e+00          2.1016e+03
         1.1930              3.8409e-01          9.7822e+02          1.2968e+00          2.0629e+03
         1.2990              4.3359e-01          1.0546e+03          1.4270e+00          2.0734e+03
         1.4160              4.8887e-01          1.1327e+03          1.5695e+00          2.0966e+03
         1.5430              5.4953e-01          1.2117e+03          1.6921e+00          2.0900e+03
         1.6820              6.1482e-01          1.2905e+03          1.7507e+00          2.0055e+03
         1.8340              6.8163e-01          1.3652e+03          1.7199e+00          1.8264e+03
         2.0000              7.4613e-01          1.4319e+03          1.6110e+00          1.5834e+03
         2.1830              8.0643e-01          1.4895e+03          1.4362e+00          1.3067e+03
         2.3820              8.5879e-01          1.5358e+03          1.2107e+00          1.0199e+03
         2.6000              9.0229e-01          1.5713e+03          9.7500e-01          7.6002e+02
         2.8380              9.3685e-01          1.5974e+03          7.5706e-01          5.4462e+02
         3.0990              9.6344e-01          1.6158e+03          5.6770e-01          3.7472e+02
         3.3850              9.8293e-01          1.6282e+03          4.1880e-01          2.5184e+02
         3.6980              9.9737e-01          1.6365e+03          3.1698e-01          1.7352e+02
         4.0390              1.0085e+00          1.6424e+03          2.4943e-01          1.2444e+02
         4.4130              1.0174e+00          1.6467e+03          2.0384e-01          9.2456e+01
         4.8230              1.0248e+00          1.6499e+03          1.7064e-01          7.0318e+01
         5.2700              1.0310e+00          1.6524e+03          1.4460e-01          5.4371e+01
         5.7600              1.0363e+00          1.6543e+03          1.2826e-01          4.3967e+01
         6.2960              1.0412e+00          1.6559e+03          1.2039e-01          3.7429e+01
         6.8830              1.0458e+00          1.6573e+03          1.1474e-01          3.2275e+01
         7.5240              1.0502e+00          1.6585e+03          1.1007e-01          2.8130e+01
         8.2270              1.0544e+00          1.6595e+03          1.0908e-01          2.5654e+01
         8.9950              1.0587e+00          1.6605e+03          1.1097e-01          2.3925e+01
         9.8350              1.0631e+00          1.6614e+03          1.1036e-01          2.1687e+01
        10.7550              1.0674e+00          1.6622e+03          1.0589e-01          1.9028e+01
        11.7610              1.0714e+00          1.6629e+03          1.0454e-01          1.7172e+01
        12.8610              1.0756e+00          1.6636e+03          1.0172e-01          1.5474e+01
        14.0660              1.0795e+00          1.6642e+03          9.4251e-02          1.3180e+01
        15.3830              1.0831e+00          1.6647e+03          9.1849e-02          1.1552e+01
        16.8250              1.0867e+00          1.6651e+03          8.8658e-02          1.0229e+01
        18.4020              1.0901e+00          1.6655e+03          7.9503e-02          8.4547e+00
        20.1280              1.0930e+00          1.6658e+03          7.7108e-02          7.4727e+00
        22.0160              1.0962e+00          1.6661e+03          7.3493e-02          6.6241e+00
        24.0820              1.0989e+00          1.6663e+03          5.8827e-02          4.8861e+00
        26.3430              1.1010e+00          1.6665e+03          4.9637e-02          3.7426e+00
        28.8160              1.1029e+00          1.6666e+03          4.7041e-02          3.2811e+00
        31.5220              1.1042e+00          1.6667e+03          3.5284e-02          2.1573e+00
        34.4820              1.1059e+00          1.6668e+03          4.1514e-02          2.4083e+00

                                             DFT method summary
                                     Pore volume =         1.097 cc/g
                                    Surface area =      1646.873 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.389 %
                         Pore width (Mode(dLog)) =         1.682 nm
 
                            Moving point average :         5
 
 
