                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/13/23       Operator: Ayupov              Date:2023/04/17
Sample ID:     AY23-120 CKO N26    Filename:      AY23-120 CKO N26 2905 QSDFT Slit Adsorption.qps
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0642 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1332.7 min          Instrument:    Autosorb Station 2  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative             dV(d)               dS(d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g               cc/nm/g             m²/nm/g

         0.6140              7.7885e-02          2.8873e+02          5.1172e-01          1.6668e+03
         0.6660              1.0651e-01          3.7456e+02          5.5054e-01          1.6505e+03
         0.7230              1.3900e-01          4.6444e+02          5.7000e-01          1.5770e+03
         0.7850              1.7496e-01          5.5659e+02          5.7996e-01          1.4862e+03
         0.8520              2.1330e-01          6.4757e+02          5.7219e-01          1.3579e+03
         0.9260              2.5387e-01          7.3667e+02          5.4826e-01          1.2041e+03
         1.0070              2.9563e-01          8.2127e+02          5.1554e-01          1.0445e+03
         1.0960              3.3873e-01          9.0136e+02          4.8428e-01          8.9983e+02
         1.1930              3.8409e-01          9.7822e+02          4.6763e-01          7.9238e+02
         1.2990              4.3359e-01          1.0546e+03          4.6698e-01          7.2038e+02
         1.4160              4.8887e-01          1.1327e+03          4.7250e-01          6.6773e+02
         1.5430              5.4953e-01          1.2117e+03          4.7766e-01          6.2213e+02
         1.6820              6.1482e-01          1.2905e+03          4.6966e-01          5.6650e+02
         1.8340              6.8163e-01          1.3652e+03          4.3958e-01          4.9147e+02
         2.0000              7.4613e-01          1.4319e+03          3.8853e-01          4.0181e+02
         2.1830              8.0643e-01          1.4895e+03          3.2950e-01          3.1499e+02
         2.3820              8.5879e-01          1.5358e+03          2.6313e-01          2.3250e+02
         2.6000              9.0229e-01          1.5713e+03          1.9952e-01          1.6298e+02
         2.8380              9.3685e-01          1.5974e+03          1.4524e-01          1.0957e+02
         3.0990              9.6344e-01          1.6158e+03          1.0186e-01          7.0742e+01
         3.3850              9.8293e-01          1.6282e+03          6.8164e-02          4.3196e+01
         3.6980              9.9737e-01          1.6365e+03          4.6129e-02          2.6619e+01
         4.0390              1.0085e+00          1.6424e+03          3.2617e-02          1.7172e+01
         4.4130              1.0174e+00          1.6467e+03          2.3857e-02          1.1460e+01
         4.8230              1.0248e+00          1.6499e+03          1.8102e-02          7.8984e+00
         5.2700              1.0310e+00          1.6524e+03          1.3815e-02          5.4850e+00
         5.7600              1.0363e+00          1.6543e+03          1.0863e-02          3.9491e+00
         6.2960              1.0412e+00          1.6559e+03          9.0929e-03          3.0093e+00
         6.8830              1.0458e+00          1.6573e+03          7.8971e-03          2.3725e+00
         7.5240              1.0502e+00          1.6585e+03          6.7539e-03          1.8289e+00
         8.2270              1.0544e+00          1.6595e+03          6.0160e-03          1.4914e+00
         8.9950              1.0587e+00          1.6605e+03          5.6301e-03          1.2924e+00
         9.8350              1.0631e+00          1.6614e+03          5.2310e-03          1.0922e+00
        10.7550              1.0674e+00          1.6622e+03          4.6143e-03          8.7879e-01
        11.7610              1.0714e+00          1.6629e+03          4.0244e-03          7.0076e-01
        12.8610              1.0756e+00          1.6636e+03          3.7720e-03          6.0184e-01
        14.0660              1.0795e+00          1.6642e+03          3.2536e-03          4.8448e-01
        15.3830              1.0831e+00          1.6647e+03          2.7306e-03          3.6733e-01
        16.8250              1.0867e+00          1.6651e+03          2.5145e-03          3.0515e-01
        18.4020              1.0901e+00          1.6655e+03          2.1302e-03          2.4023e-01
        20.1280              1.0930e+00          1.6658e+03          1.7088e-03          1.7475e-01
        22.0160              1.0962e+00          1.6661e+03          1.6841e-03          1.5946e-01
        24.0820              1.0989e+00          1.6663e+03          1.3236e-03          1.1638e-01
        26.3430              1.1010e+00          1.6665e+03          8.9492e-04          7.0914e-02
        28.8160              1.1029e+00          1.6666e+03          8.0425e-04          5.9088e-02
        31.5220              1.1042e+00          1.6667e+03          4.8106e-04          3.0519e-02
        34.4820              1.1059e+00          1.6668e+03          5.4667e-04          3.1714e-02

                                             DFT method summary
                                     Pore volume =         1.097 cc/g
                                    Surface area =      1646.873 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.389 %
                               Pore width (Mode) =         0.785 nm
 
                            Moving point average :         5
 
 
