                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:3/22/2023      Operator: Ayupov              Date:2023/03/28
Sample ID:     AY23-88 M38         Filename:      AY23-88 M38_2870-ASMS_St3_2023_03_22_01.QPS
Sample Desc:   Maksimowa           Comment:        
Outgas Time:   23.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.1303 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: 867.7 min           Instrument:    Autosorb Station 3  Bath temp.:    77.3 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 3.54 ÅEff. cell stem diam. (d): 4.0000 mm
 
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

                     Relative                                        Volume @ STP
                     Pressure                                               
                                                                         cc/g

                        5.91895e-03                                      22.7245
                        6.53180e-03                                      23.0418
                        8.58120e-03                                      23.8911
                        1.01150e-02                                      24.4365
                        2.12921e-02                                      26.8356
                        2.80359e-02                                      27.8477
                        3.29873e-02                                      28.5011
                        3.81663e-02                                      29.1159
                        4.46873e-02                                      29.7706
                        5.26880e-02                                      30.4948
                        6.26242e-02                                      31.3025
                        7.53609e-02                                      32.2528
                        8.75696e-02                                      33.0766
                        9.32171e-02                                      33.4391
                        1.11578e-01                                      34.6166
                        1.35925e-01                                      36.0115
                        1.61120e-01                                      37.3034
                        1.86133e-01                                      38.5621
                        2.11138e-01                                      39.8055
                        2.36137e-01                                      41.0115
                        2.61142e-01                                      42.2110
                        2.86177e-01                                      43.3721
                        3.11183e-01                                      44.5219
                        3.36059e-01                                      45.6766
                        3.61015e-01                                      46.8493
                        3.85996e-01                                      47.9888
                        4.11117e-01                                      49.0841
                        4.35970e-01                                      50.1886
                        4.60696e-01                                      51.3715
                        4.85704e-01                                      52.5267
                        5.10619e-01                                      53.6981
                        5.35569e-01                                      54.8623
                        5.60441e-01                                      56.0720
                        5.84875e-01                                      57.4397
                        6.09925e-01                                      58.7938
                        6.34811e-01                                      60.1543
                        6.59624e-01                                      61.5607
                        6.83972e-01                                      63.1607
                        7.08845e-01                                      64.8189
                        7.33826e-01                                      66.4660
                        7.58775e-01                                      68.1550
                        7.83277e-01                                      69.9803
                        8.06841e-01                                      72.2200
                        8.32109e-01                                      74.3636
                        8.56668e-01                                      76.6658
                        8.81108e-01                                      79.1694
                        9.04758e-01                                      82.1255
                        9.17929e-01                                      84.1397
                        9.27459e-01                                      86.3282
                        9.34988e-01                                      87.7593
                        9.40593e-01                                      89.0173
                        9.48344e-01                                      91.0076
                        9.56711e-01                                      93.4704
                        9.64663e-01                                      96.6146
                        9.71160e-01                                     100.9245
                        9.77148e-01                                     105.0114
                        9.82010e-01                                     109.1319
                        9.86632e-01                                     115.2190
                        9.90608e-01                                     121.8579
                        9.84231e-01                                     119.8256
                        9.80955e-01                                     116.4696
                        9.77688e-01                                     112.9364
                        9.74096e-01                                     109.3318
                        9.59861e-01                                      99.5821
                        9.53817e-01                                      96.5616
                        9.38921e-01                                      91.4493
                        9.30716e-01                                      89.2927
                        9.22557e-01                                      87.4777
                        9.13398e-01                                      86.3654
                        9.04710e-01                                      84.9317
                        8.95205e-01                                      83.7058
                        8.71603e-01                                      80.9005
                        8.46205e-01                                      78.4554
                        8.20237e-01                                      76.2444
                        8.04811e-01                                      75.0992
                        7.73886e-01                                      72.8985
                        7.43968e-01                                      71.5897
                        7.28436e-01                                      70.5925
                        6.97372e-01                                      68.7045
                        6.69330e-01                                      67.0000
                        6.53505e-01                                      66.0459
                        6.22305e-01                                      64.1280
                        5.94078e-01                                      62.4280
                        5.78267e-01                                      61.4559
                        5.46985e-01                                      59.5827
                        5.18309e-01                                      57.9279
                        5.02572e-01                                      57.0321
                        4.71764e-01                                      55.1190
                        4.44751e-01                                      53.1094
                        4.28933e-01                                      52.0335
                        3.96800e-01                                      50.2012
                        3.67922e-01                                      48.7005
                        3.51687e-01                                      47.9330
                        3.20018e-01                                      46.3314
                        3.03236e-01                                      45.4614
                        2.70565e-01                                      43.8401
                        2.53494e-01                                      42.9718
                        2.20579e-01                                      41.2768
                        2.03588e-01                                      40.3571
                        1.70640e-01                                      38.6027
                        1.53593e-01                                      37.6394
                        1.20728e-01                                      35.7601
                        1.03782e-01                                      34.7152
                        7.14913e-02                                      32.4686
                        4.41556e-02                                      30.0940
                        2.45014e-02                                      27.6093
