                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:9/8/2022       Operator: Ayupov              Date:2023/03/28
Sample ID:     M14                 Filename:      M14_2551-ASMS_St1_2022_09_08_01.QPS
Sample Desc:   Bauman              Comment:        
Outgas Time:   3.0 hrs             Outgas Temp:   300.0 °C            Sample Weight: 0.1469 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: 1045.1 min          Instrument:    Autosorb Station 1  Bath temp.:    77.3 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 3.54 ÅEff. cell stem diam. (d): 4.0000 mm
 
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

                     Relative                                        Volume @ STP
                     Pressure                                               
                                                                         cc/g

                        5.56976e-03                                      28.0809
                        6.44536e-03                                      28.6488
                        8.24697e-03                                      29.5743
                        1.01719e-02                                      30.4176
                        1.98216e-02                                      33.1711
                        2.68517e-02                                      34.5098
                        3.22732e-02                                      35.3791
                        3.76317e-02                                      36.1660
                        4.40589e-02                                      36.9698
                        5.20333e-02                                      37.8659
                        6.19050e-02                                      38.8733
                        7.45312e-02                                      40.0182
                        8.67107e-02                                      41.0319
                        9.28436e-02                                      41.5151
                        1.10787e-01                                      42.8630
                        1.34606e-01                                      44.5274
                        1.59585e-01                                      46.1479
                        1.84791e-01                                      47.6833
                        2.09870e-01                                      49.2151
                        2.34801e-01                                      50.7043
                        2.59925e-01                                      52.1269
                        2.84818e-01                                      53.5510
                        3.09961e-01                                      54.9395
                        3.34755e-01                                      56.3538
                        3.59927e-01                                      57.7089
                        3.84943e-01                                      59.0542
                        4.09670e-01                                      60.4521
                        4.34807e-01                                      61.8084
                        4.59812e-01                                      63.1336
                        4.84702e-01                                      64.4816
                        5.09369e-01                                      65.9452
                        5.34354e-01                                      67.3617
                        5.59178e-01                                      68.8027
                        5.83803e-01                                      70.3269
                        6.08837e-01                                      71.8444
                        6.33751e-01                                      73.3794
                        6.58102e-01                                      75.0686
                        6.83228e-01                                      76.6926
                        7.08029e-01                                      78.3935
                        7.32699e-01                                      80.1745
                        7.57596e-01                                      81.9676
                        7.82574e-01                                      83.7487
                        8.06866e-01                                      85.7221
                        8.32189e-01                                      87.6069
                        8.56780e-01                                      89.6018
                        8.80328e-01                                      92.0271
                        9.04251e-01                                      94.6981
                        9.17139e-01                                      96.6953
                        9.28411e-01                                      98.3625
                        9.35640e-01                                      99.4809
                        9.40191e-01                                     100.7022
                        9.48594e-01                                     102.3636
                        9.57006e-01                                     104.4672
                        9.62830e-01                                     107.8087
                        9.71165e-01                                     111.5587
                        9.76333e-01                                     115.2974
                        9.80534e-01                                     119.3247
                        9.87494e-01                                     129.2558
                        9.92583e-01                                     139.3500
                        9.88605e-01                                     136.5089
                        9.80093e-01                                     126.9873
                        9.77289e-01                                     123.7074
                        9.73834e-01                                     120.3846
                        9.60423e-01                                     111.0945
                        9.54310e-01                                     108.2475
                        9.39227e-01                                     103.4532
                        9.30492e-01                                     101.4666
                        9.21421e-01                                      99.9778
                        9.13661e-01                                      98.5309
                        9.04748e-01                                      97.2154
                        8.94750e-01                                      96.0619
                        8.70646e-01                                      93.4186
                        8.44647e-01                                      91.2532
                        8.18401e-01                                      89.3058
                        8.02967e-01                                      88.2765
                        7.71736e-01                                      86.3820
                        7.43199e-01                                      84.7348
                        7.27179e-01                                      83.8565
                        6.95270e-01                                      82.2122
                        6.78412e-01                                      81.3353
                        6.45816e-01                                      79.7533
                        6.28872e-01                                      78.8585
                        5.96253e-01                                      77.0648
                        5.78944e-01                                      76.2055
                        5.47053e-01                                      74.2360
                        5.18467e-01                                      72.4535
                        5.02985e-01                                      71.3313
                        4.72725e-01                                      68.9595
                        4.49112e-01                                      65.5550
                        4.21134e-01                                      63.0875
                        3.92997e-01                                      61.2014
                        3.77012e-01                                      60.2214
                        3.45255e-01                                      58.3603
                        3.28206e-01                                      57.4243
                        2.95633e-01                                      55.4754
                        2.78792e-01                                      54.4470
                        2.45875e-01                                      52.4850
                        2.28738e-01                                      51.4266
                        1.95845e-01                                      49.3222
                        1.78696e-01                                      48.2285
                        1.45969e-01                                      46.0387
                        1.29028e-01                                      44.8199
                        9.66746e-02                                      42.3143
                        6.84397e-02                                      39.8688
                        5.34313e-02                                      38.3381
                        2.28977e-02                                      33.9613
