p a
2.50466 220.4717
2.55604 220.9493
2.66293 221.8748
2.86226 223.2262
3.14222 225.0272
3.53848 227.3463
4.08578 230.1867
4.86493 233.4525
6.52756 238.7728
7.6421 241.44
8.54044 243.2242
10.21616 245.7209
12.62732 248.3639
15.42047 250.4707
18.26586 251.9722
20.96038 253.1465
23.61155 254.066
26.18806 254.8636
28.76603 255.5504
31.31645 256.1712
33.82522 256.7857
36.38487 257.3144
38.93492 257.8245
41.47178 258.2807
44.00827 258.701
46.54327 259.0849
49.03893 259.4968
51.5857 259.8573
54.10979 260.2078
56.63682 260.5356
59.1531 260.8614
61.68862 261.157
64.14079 261.5425
66.69162 261.8664
69.12689 262.2526
71.65028 262.6128
74.18346 262.9365
76.68624 263.2794
79.13628 263.7234
81.6868 264.1051
84.17769 264.5143
86.60093 265.0608
89.10078 265.6207
91.53134 266.3516
92.68127 266.9083
93.72874 267.4244
94.22796 267.8647
94.78282 268.2116
95.67589 268.7244
96.66122 269.2671
97.55703 270.0091
98.56488 270.7297
99.10844 271.3696
99.59558 272.0133
100.11365 273.5205
100.43469 275.0351
